43.71.10.022.3," CERAMIC FIBER TAPE  (GASKET) , THICNESS: 3 MM , WIDTH: 50 MM, LENGTH:10.5 M ,  FOR R-4001, ACCORDING DWG NO: 140A202, POSITION 16"
43.71.10.024.3," CERAMIC FIBER TAPE (GASKET) , THICNESS: 3 MM , WIDTH: 50 MM, LENGTH:35 M ,  FOR R-4001, ACCORDING DWG NO: 140A202, POSITION 16"
43.71.10.031.3,"CERAMIC FIBER ROPE LAGGING , DIAMETER: 13 MM, LENGTH: 60 M, FOR R-4001"
43.71.10.158.3,"CERAMIC FIBER TAPE WITH STAINLESS STEEL WIRE REINFORCEMENT, THICKNESS:3 MM, WIDTH: 40 MM,  LENGTH: 25 M"
